FromCity,ToCity,Distance
"Chennai, Tamil Nadu India IN","Coimbatore, Tamil Nadu India IN",428.45
"Chennai, Tamil Nadu India IN","Kochi, Kerala, India",560.64
"Chennai, Tamil Nadu India IN","Mysore, Karnataka India IN",403.06
"Chennai, Tamil Nadu India IN","Amritsar, Punjab India IN",2134.87
"Chennai, Tamil Nadu India IN","Vishakhapatnam, Andhra Pradesh India IN",606.49
"Chennai, Tamil Nadu India IN","Madurai, Tamil Nadu India IN",422.48
"Chennai, Tamil Nadu India IN","Vijayawada, Andhra Pradesh India IN",382.98
"Chennai, Tamil Nadu India IN","Bhubaneshwar, Orissa India IN",990.34
"Chennai, Tamil Nadu India IN","Jodhpur, Rajasthan India IN",1651.06
"Chennai, Tamil Nadu India IN","Raipur, Chhattisgarh India IN",917.04
"Chennai, Tamil Nadu India IN","Chandigarh, Chandigarh India IN",1994.82
"Chennai, Tamil Nadu India IN","Guwahati, Assam India IN",1884.14
"Chennai, Tamil Nadu India IN","Dehra Dun, Uttarakhand India IN",1929.5
"Chennai, Tamil Nadu India IN","Noida, Uttar Pradesh, India IN",1749.73
"Chennai, Tamil Nadu India IN","Gurgoan, Handia, Uttar Pradesh, India",1393.8
"Chennai, Tamil Nadu India IN","Faridabad, Haryana India IN",1733.59
"Chennai, Tamil Nadu India IN","Ghaziabad, Uttar Pradesh India IN",1757.02
"Chennai, Tamil Nadu India IN","Jamshedpur, Jharkhand India IN",1247.02
"Chennai, Tamil Nadu India IN","Rajkot, Gujarat India IN",1434.5
"Chennai, Tamil Nadu India IN","Kota, Rajasthan India IN",1423.26
"Chennai, Tamil Nadu India IN","Warangal, Andhra Pradesh India IN",551.23
"Chennai, Tamil Nadu India IN","Jalandhar, Punjab India IN",2084.03
"Chennai, Tamil Nadu India IN","Salem, Tamil Nadu India IN",279.57
"Chennai, Tamil Nadu India IN","Aligarh, Uttar Pradesh India IN",1660.79
"Chennai, Tamil Nadu India IN","Moradabad, Uttar Pradesh India IN",1757.54
"Chennai, Tamil Nadu India IN","Guntur, Andhra Pradesh India IN",357.63
"Kolkata, Bengal India IN","New Delhi, Delhi India IN",1304.48
"Kolkata, Bengal India IN","Mumbai, Maharashtra India IN",1663.69
"Kolkata, Bengal India IN","Bengaluru, Karnataka, India",1561.88
"Kolkata, Bengal India IN","Chennai, Tamil Nadu India IN",1357.47
"Kolkata, Bengal India IN","Kolkata, Bengal India IN",0
"Kolkata, Bengal India IN","Hyderabad, Andhra Pradesh India IN",1183.88
"Kolkata, Bengal India IN","Pune, Maharashtra India IN",1574.34
"Kolkata, Bengal India IN","Ahmadabad, Gujarat India IN",1614.74
"Kolkata, Bengal India IN","Jaipur, Rajasthan India IN",1355.76
"Kolkata, Bengal India IN","Lucknow, Uttar Pradesh India IN",890.32
"Kolkata, Bengal India IN","Kanpur, Uttar Pradesh India IN",919.44
"Kolkata, Bengal India IN","Nagpur, Maharashtra India IN",969.35
"Kolkata, Bengal India IN","Surat, Gujarat India IN",1610.01
"Kolkata, Bengal India IN","Bhopal, Madhya Pradesh India IN",1125.83
"Kolkata, Bengal India IN","Indore, India IN",1286.19
"Kolkata, Bengal India IN","Patna, Bihar India IN",471.72
"Kolkata, Bengal India IN","Ludhiana, Punjab India IN",1548.4
"Kolkata, Bengal India IN","Thane, Maharashtra India IN",1642.49
"Kolkata, Bengal India IN","Agra, Uttar Pradesh India IN",1162.89
"Kolkata, Bengal India IN","Varanasi, Uttar Pradesh, India",626.4
"Kolkata, Bengal India IN","Meerut, Uttar Pradesh India IN",1283.43
"Kolkata, Bengal India IN","Vadodara, Gujarat India IN",1558.67
"Kolkata, Bengal India IN","Allahabad, Uttar Pradesh India IN",735.42
"Kolkata, Bengal India IN","Ranchi, Jharkhand India IN",322.74
"Kolkata, Bengal India IN","Coimbatore, Tamil Nadu India IN",1766.81
"Kolkata, Bengal India IN","Kochi, Kerala, India",1906.53
"Kolkata, Bengal India IN","Mysore, Karnataka India IN",1685.79
"Kolkata, Bengal India IN","Amritsar, Punjab India IN",1671.47
"Kolkata, Bengal India IN","Vishakhapatnam, Andhra Pradesh India IN",756.99
"Kolkata, Bengal India IN","Madurai, Tamil Nadu India IN",1779.23
"Kolkata, Bengal India IN","Vijayawada, Andhra Pradesh India IN",1054.52
"Kolkata, Bengal India IN","Bhubaneshwar, Orissa India IN",369.35
"Kolkata, Bengal India IN","Jodhpur, Rajasthan India IN",1605.79
"Kolkata, Bengal India IN","Raipur, Chhattisgarh India IN",710.59
"Kolkata, Bengal India IN","Chandigarh, Chandigarh India IN",1464.47
"Kolkata, Bengal India IN","Guwahati, Assam India IN",526.71
"Kolkata, Bengal India IN","Dehra Dun, Uttarakhand India IN",1340.72
"Kolkata, Bengal India IN","Noida, Uttar Pradesh, India IN",1292.62
"Kolkata, Bengal India IN","Gurgoan, Handia, Uttar Pradesh, India",710
"Kolkata, Bengal India IN","Faridabad, Haryana India IN",1285.68
"Kolkata, Bengal India IN","Ghaziabad, Uttar Pradesh India IN",1288.11
"Kolkata, Bengal India IN","Jamshedpur, Jharkhand India IN",225.75
"Kolkata, Bengal India IN","Rajkot, Gujarat India IN",1806.63
"Kolkata, Bengal India IN","Kota, Rajasthan India IN",1306.75
"Kolkata, Bengal India IN","Warangal, Andhra Pradesh India IN",1047.41
"Kolkata, Bengal India IN","Jalandhar, Punjab India IN",1596.27
"Kolkata, Bengal India IN","Salem, Tamil Nadu India IN",1626.33
"Kolkata, Bengal India IN","Aligarh, Uttar Pradesh India IN",1190.71
"Kolkata, Bengal India IN","Moradabad, Uttar Pradesh India IN",1185.56
"Kolkata, Bengal India IN","Guntur, Andhra Pradesh India IN",1083.75
"Hyderabad, Andhra Pradesh India IN","New Delhi, Delhi India IN",1254.84
"Hyderabad, Andhra Pradesh India IN","Mumbai, Maharashtra India IN",622.63
"Hyderabad, Andhra Pradesh India IN","Bengaluru, Karnataka, India",499.41
"Hyderabad, Andhra Pradesh India IN","Chennai, Tamil Nadu India IN",514.49
"Hyderabad, Andhra Pradesh India IN","Kolkata, Bengal India IN",1183.88
"Hyderabad, Andhra Pradesh India IN","Hyderabad, Andhra Pradesh India IN",0
"Hyderabad, Andhra Pradesh India IN","Pune, Maharashtra India IN",504.09
"Hyderabad, Andhra Pradesh India IN","Ahmadabad, Gujarat India IN",876.89
"Hyderabad, Andhra Pradesh India IN","Jaipur, Rajasthan India IN",1095.52
"Hyderabad, Andhra Pradesh India IN","Lucknow, Uttar Pradesh India IN",1083.01
"Hyderabad, Andhra Pradesh India IN","Kanpur, Uttar Pradesh India IN",1029.16
"Hyderabad, Andhra Pradesh India IN","Nagpur, Maharashtra India IN",424.81
"Hyderabad, Andhra Pradesh India IN","Surat, Gujarat India IN",726.69
"Hyderabad, Andhra Pradesh India IN","Bhopal, Madhya Pradesh India IN",664.56
"Hyderabad, Andhra Pradesh India IN","Indore, India IN",654.92
"Hyderabad, Andhra Pradesh India IN","Patna, Bihar India IN",1143.38
"Hyderabad, Andhra Pradesh India IN","Ludhiana, Punjab India IN",1527.03
"Hyderabad, Andhra Pradesh India IN","Thane, Maharashtra India IN",615.81
"Hyderabad, Andhra Pradesh India IN","Agra, Uttar Pradesh India IN",1091.57
"Hyderabad, Andhra Pradesh India IN","Varanasi, Uttar Pradesh, India",1000.82
"Hyderabad, Andhra Pradesh India IN","Meerut, Uttar Pradesh India IN",1293.11
"Hyderabad, Andhra Pradesh India IN","Vadodara, Gujarat India IN",777.1
"Hyderabad, Andhra Pradesh India IN","Allahabad, Uttar Pradesh India IN",963.27
"Hyderabad, Andhra Pradesh India IN","Ranchi, Jharkhand India IN",975.6
"Hyderabad, Andhra Pradesh India IN","Coimbatore, Tamil Nadu India IN",727.24
"Hyderabad, Andhra Pradesh India IN","Kochi, Kerala, India",860.98
"Hyderabad, Andhra Pradesh India IN","Mysore, Karnataka India IN",596.64
"Hyderabad, Andhra Pradesh India IN","Amritsar, Punjab India IN",1626.47
"Hyderabad, Andhra Pradesh India IN","Vishakhapatnam, Andhra Pradesh India IN",512.87
"Hyderabad, Andhra Pradesh India IN","Madurai, Tamil Nadu India IN",828.37
"Hyderabad, Andhra Pradesh India IN","Vijayawada, Andhra Pradesh India IN",247.04
"Hyderabad, Andhra Pradesh India IN","Bhubaneshwar, Orissa India IN",837.06
"Hyderabad, Andhra Pradesh India IN","Jodhpur, Rajasthan India IN",1138.68
"Hyderabad, Andhra Pradesh India IN","Raipur, Chhattisgarh India IN",542.07
"Hyderabad, Andhra Pradesh India IN","Chandigarh, Chandigarh India IN",1495.48
"Hyderabad, Andhra Pradesh India IN","Guwahati, Assam India IN",1681.29
"Hyderabad, Andhra Pradesh India IN","Dehra Dun, Uttarakhand India IN",1439.64
"Hyderabad, Andhra Pradesh India IN","Noida, Uttar Pradesh, India IN",1251.66
"Hyderabad, Andhra Pradesh India IN","Gurgoan, Handia, Uttar Pradesh, India",980.04
"Hyderabad, Andhra Pradesh India IN","Faridabad, Haryana India IN",1235.22
"Hyderabad, Andhra Pradesh India IN","Ghaziabad, Uttar Pradesh India IN",1259.97
"Hyderabad, Andhra Pradesh India IN","Jamshedpur, Jharkhand India IN",1005.51
"Hyderabad, Andhra Pradesh India IN","Rajkot, Gujarat India IN",972.77
"Hyderabad, Andhra Pradesh India IN","Kota, Rajasthan India IN",910.18
